Channel,Restricted word or phrase,Category,Suggested handling,False-positive risk,Match type,Why it is included,Channel note,Status
Instagram,dm me,Spam & engagement bait,Auto-hide,Low,Phrase/substring,Common engagement manipulation or profile-redirection language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,dm us,Spam & engagement bait,Auto-hide,Low,Phrase/substring,Common engagement manipulation or profile-redirection language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,message me,Spam & engagement bait,Auto-hide,Low,Phrase/substring,Common engagement manipulation or profile-redirection language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,message us,Spam & engagement bait,Auto-hide,Low,Phrase/substring,Common engagement manipulation or profile-redirection language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,check your dm,Spam & engagement bait,Auto-hide,Low,Phrase/substring,Common engagement manipulation or profile-redirection language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,check your inbox,Spam & engagement bait,Auto-hide,Low,Phrase/substring,Common engagement manipulation or profile-redirection language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,check my profile,Spam & engagement bait,Auto-hide,Low,Phrase/substring,Common engagement manipulation or profile-redirection language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,visit my profile,Spam & engagement bait,Auto-hide,Low,Phrase/substring,Common engagement manipulation or profile-redirection language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,click my bio,Spam & engagement bait,Auto-hide,Low,Phrase/substring,Common engagement manipulation or profile-redirection language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,link in bio,Spam & engagement bait,Auto-hide,Low,Phrase/substring,Common engagement manipulation or profile-redirection language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,follow for follow,Spam & engagement bait,Auto-hide,Low,Phrase/substring,Common engagement manipulation or profile-redirection language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,follow4follow,Spam & engagement bait,Auto-hide,Low,Phrase/substring,Common engagement manipulation or profile-redirection language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
Instagram,f4f,Spam & engagement bait,Auto-hide,Low,Phrase/substring,Common engagement manipulation or profile-redirection language.,Add clear scam/explicit phrases to comment and message filters; send review-only matches to moderation review.,Active
