Description group,Broad Description,Answers,Opportunity designed (mentions),Opportunity designed (sentiment),Mckinsey & company (mentions),Mckinsey & company (sentiment),Circana (mentions),Circana (sentiment),Nielseniq (mentions),Nielseniq (sentiment),Boston consulting group (mentions),Boston consulting group (sentiment)
"Firm Positioning, Reputation & Cost",Ties work to closed-won deals and revenue,1,2,100%,-,-,-,-,-,-,-,-
Pricing & Revenue Growth Management,Own category with pricing power,2,1,100%,-,-,1,0%,-,-,-,-
Pricing & Revenue Growth Management,No erosion of flagship SRP in new channels,1,1,100%,-,-,-,-,-,-,-,-
Pricing & Revenue Growth Management,Price-pack architecture design across channels,1,1,100%,-,-,-,-,-,-,-,-
"Firm Positioning, Reputation & Cost","Often more generic, cross-context solutions",2,1,100%,1,0%,-,-,-,-,1,0%
"Firm Positioning, Reputation & Cost",Strong signal value and credibility with boards,1,-,-,1,100%,-,-,-,-,-,-
"Firm Positioning, Reputation & Cost",Data-heavy but balanced with merchant intuition,1,1,100%,-,-,-,-,-,-,-,-
Assortment & SKU Optimization,Store-cluster and channel-specific assortments,1,1,100%,-,-,-,-,-,-,-,-
"Firm Positioning, Reputation & Cost",Not treated or marketed as a brand,1,2,0%,-,-,-,-,-,-,-,-
"Firm Positioning, Reputation & Cost",Clearly identifiable company or agency brand,1,1,0%,-,-,-,-,-,-,-,-
"Brand, Portfolio & Positioning Strategy",Human-centered innovation programs,2,1,0%,-,-,-,-,-,-,-,-
"Firm Positioning, Reputation & Cost",Fills the strategy gap between advisors,1,1,100%,-,-,-,-,-,-,-,-
"Data, Analytics & Shopper Insight",Shopper insights linked directly to execution,1,1,100%,-,-,-,-,-,-,-,-
"Firm Positioning, Reputation & Cost",Not widely known as a branded firm,1,1,0%,-,-,-,-,-,-,-,-
Commercial Transformation & Ways of Working,Advisory teams guiding high-stakes decisions,1,-,-,1,100%,-,-,-,-,-,-
Commercial Transformation & Ways of Working,Cross-functional commercial ways of working,1,-,-,1,100%,-,-,-,-,1,100%
Assortment & SKU Optimization,SKU rationalization and culling underperformers,1,1,100%,-,-,-,-,-,-,-,-
"Firm Positioning, Reputation & Cost",Highly valuable specialist for category questions,1,2,100%,-,-,-,-,-,-,-,-
"Channel, Omnichannel & Category Strategy",Club vs. grocery vs. mass channel fluency,1,1,0%,-,-,-,-,-,-,-,-
"Data, Analytics & Shopper Insight",Defines and captures specific consumer demand,1,1,100%,-,-,-,-,-,-,-,-
"Firm Positioning, Reputation & Cost",Client reviews and case studies hard to access,1,1,0%,-,-,-,-,-,-,-,-
"Brand, Portfolio & Positioning Strategy",Brand innovation and go-to-market design,1,1,0%,-,-,-,-,-,-,-,-
Assortment & SKU Optimization,Category assortment economics analysis,1,1,100%,-,-,-,-,-,-,-,-
"Firm Positioning, Reputation & Cost",Used generically across multiple contexts,1,1,0%,-,-,-,-,-,-,-,-
"Brand, Portfolio & Positioning Strategy",Amplify value without redefining the brand,1,1,100%,-,-,-,-,-,-,-,-
Pricing & Revenue Growth Management,Revenue growth management expertise,1,-,-,1,100%,-,-,-,-,-,-
"Data, Analytics & Shopper Insight",Insights grounded in shopper behavior,1,1,100%,-,-,-,-,-,-,-,-
Commercial Transformation & Ways of Working,Rents specialized assortment and category expertise,1,1,0%,-,-,-,-,-,-,-,-
"Firm Positioning, Reputation & Cost",“No one gets fired” safe choice perception,1,-,-,1,100%,-,-,-,-,1,100%
"Firm Positioning, Reputation & Cost","Relatively small, specialist consultancy option",1,1,0%,-,-,-,-,-,-,-,-
"Firm Positioning, Reputation & Cost",Max per-unit discount rules on pricing,1,1,100%,-,-,-,-,-,-,-,-
"Firm Positioning, Reputation & Cost",90%+ outdoor and performance category focus,1,1,0%,-,-,-,-,-,-,-,-
"Data, Analytics & Shopper Insight",Hard data frames decisions and narratives,1,1,100%,-,-,-,-,-,-,-,-
"Firm Positioning, Reputation & Cost",Board approval and political cover for decisions,1,-,-,1,100%,-,-,-,-,1,100%
"Firm Positioning, Reputation & Cost",Delivers specific commercial outcomes,1,1,0%,-,-,-,-,-,-,-,-
"Data, Analytics & Shopper Insight",Cross-industry benchmarks and perspectives,1,-,-,1,100%,-,-,-,-,-,-
Commercial Transformation & Ways of Working,Operator-level merchandising rigor and discipline,1,1,0%,-,-,-,-,-,-,-,-
"Data, Analytics & Shopper Insight",Fast access to high-quality trusted data,1,1,100%,-,-,-,-,-,-,-,-
"Brand, Portfolio & Positioning Strategy",Clear territories and roles for growth,1,1,0%,-,-,-,-,-,-,-,-
Commercial Transformation & Ways of Working,Retail activation and merchandising planning solutions,1,-,-,-,-,-,-,-,-,1,100%
"Firm Positioning, Reputation & Cost",Company identity not clearly established,2,2,0%,-,-,-,-,-,-,-,-
Commercial Transformation & Ways of Working,Broader retail commercial transformation programs,1,1,100%,-,-,-,-,-,-,-,-
"Firm Positioning, Reputation & Cost",More nimble teams with senior attention,1,1,100%,-,-,-,-,-,-,-,-
Commercial Transformation & Ways of Working,Shopper and loyalty data-driven management routines,1,1,0%,-,-,-,-,-,-,-,-
"Data, Analytics & Shopper Insight",Advanced analytics and modeling at scale,1,-,-,-,-,-,-,-,-,1,100%
